trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.4, 'e': 0.9944925627484974}",35,0,-131.33413409615417,"{0: 22, 1: 1, 2: 11, 3: 0, 4: 1}",0
106,False,"{'a': 0.4, 'e': 0.9943872583508965}",25,0,-123.45522338723151,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
107,False,"{'a': 0.4, 'e': 0.9942809595661201}",20,0,-59.51025747035433,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
108,False,"{'a': 0.4, 'e': 0.9941736665004669}",25,0,-61.242363896841304,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
109,False,"{'a': 0.4, 'e': 0.9940653792612301}",25,0,-115.03364827441605,"{0: 13, 1: 0, 2: 11, 3: 1, 4: 0}",1
110,False,"{'a': 0.4, 'e': 0.9939560979566968}",20,0,-132.76219026201258,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
111,False,"{'a': 0.4, 'e': 0.9938458226961485}",20,0,-137.69218778696734,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
112,False,"{'a': 0.4, 'e': 0.9937345535898603}",20,0,-101.69261695878605,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
113,False,"{'a': 0.4, 'e': 0.9936222907491012}",25,0,-213.10597581419123,"{0: 10, 1: 3, 2: 9, 3: 0, 4: 3}",0
114,False,"{'a': 0.4, 'e': 0.9935090342861344}",20,3,22.098543484658048,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.4, 'e': 0.9933947843142158}",20,0,-83.61401321728978,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
116,False,"{'a': 0.4, 'e': 0.9932795409475959}",20,0,-96.0311874617412,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
117,False,"{'a': 0.4, 'e': 0.9931633043015177}",20,14,1.9804436828143643,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
